file_name,full_path,shape,resolution_xy,num_slices,spacing_x_mm,spacing_y_mm,spacing_z_mm,xy_spacing_mm
092.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\092.nii,"(512, 512, 37)",512x512,37,0.44726562,0.44726562,5.0,0.447265625x0.447265625
093.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\093.nii,"(512, 512, 38)",512x512,38,0.41015625,0.41015625,5.0,0.41015625x0.41015625
094.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\094.nii,"(512, 512, 47)",512x512,47,0.44335938,0.44335938,5.0,0.443359375x0.443359375
095.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\095.nii,"(512, 512, 37)",512x512,37,0.390625,0.390625,5.0,0.390625x0.390625
096.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\096.nii,"(512, 512, 37)",512x512,37,0.40820312,0.40820312,5.0,0.408203125x0.408203125
097.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\097.nii,"(512, 512, 33)",512x512,33,0.43359375,0.43359375,5.0,0.43359375x0.43359375
098.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\098.nii,"(512, 512, 48)",512x512,48,0.41796875,0.41796875,5.0,0.41796875x0.41796875
099.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\099.nii,"(512, 512, 33)",512x512,33,0.4609375,0.4609375,5.0,0.4609375x0.4609375
100.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\100.nii,"(512, 512, 34)",512x512,34,0.42382812,0.42382812,5.0,0.423828125x0.423828125
101.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\101.nii,"(512, 512, 35)",512x512,35,0.390625,0.390625,5.0,0.390625x0.390625
102.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\102.nii,"(512, 512, 37)",512x512,37,0.40820312,0.40820312,5.0,0.408203125x0.408203125
103.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\103.nii,"(512, 512, 40)",512x512,40,0.43945312,0.43945312,5.0,0.439453125x0.439453125
104.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\104.nii,"(512, 512, 31)",512x512,31,0.45507812,0.45507812,5.0,0.455078125x0.455078125
105.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\105.nii,"(512, 512, 34)",512x512,34,0.44726562,0.44726562,5.0,0.447265625x0.447265625
106.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\106.nii,"(512, 512, 36)",512x512,36,0.421875,0.421875,5.0,0.421875x0.421875
107.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\107.nii,"(512, 512, 37)",512x512,37,0.41015625,0.41015625,5.0,0.41015625x0.41015625
108.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\108.nii,"(512, 512, 58)",512x512,58,0.44140625,0.44140625,5.0,0.44140625x0.44140625
109.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\109.nii,"(512, 512, 33)",512x512,33,0.41601562,0.41601562,5.0,0.416015625x0.416015625
110.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\110.nii,"(512, 512, 33)",512x512,33,0.453125,0.453125,5.0,0.453125x0.453125
111.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\111.nii,"(512, 512, 39)",512x512,39,0.4375,0.4375,5.0,0.4375x0.4375
112.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\112.nii,"(512, 512, 38)",512x512,38,0.37890625,0.37890625,5.0,0.37890625x0.37890625
113.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\113.nii,"(512, 512, 33)",512x512,33,0.41796875,0.41796875,5.0,0.41796875x0.41796875
114.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\114.nii,"(512, 512, 32)",512x512,32,0.42578125,0.42578125,5.0,0.42578125x0.42578125
115.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\115.nii,"(512, 512, 38)",512x512,38,0.42578125,0.42578125,5.0,0.42578125x0.42578125
116.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\116.nii,"(512, 512, 36)",512x512,36,0.45507812,0.45507812,5.0,0.455078125x0.455078125
117.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\117.nii,"(512, 512, 33)",512x512,33,0.43945312,0.43945312,5.0,0.439453125x0.439453125
118.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\118.nii,"(512, 512, 35)",512x512,35,0.41796875,0.41796875,5.0,0.41796875x0.41796875
119.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\119.nii,"(512, 512, 36)",512x512,36,0.48828125,0.48828125,5.0,0.48828125x0.48828125
120.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\120.nii,"(512, 512, 35)",512x512,35,0.3984375,0.3984375,5.0,0.3984375x0.3984375
121.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\121.nii,"(512, 512, 35)",512x512,35,0.41015625,0.41015625,5.0,0.41015625x0.41015625
122.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\122.nii,"(512, 512, 32)",512x512,32,0.39453125,0.39453125,5.0,0.39453125x0.39453125
123.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\123.nii,"(512, 512, 43)",512x512,43,0.42773438,0.42773438,5.0,0.427734375x0.427734375
124.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\124.nii,"(512, 512, 37)",512x512,37,0.42773438,0.42773438,5.0,0.427734375x0.427734375
125.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\125.nii,"(512, 512, 43)",512x512,43,0.44921875,0.44921875,5.0,0.44921875x0.44921875
126.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\126.nii,"(512, 512, 34)",512x512,34,0.390625,0.390625,5.0,0.390625x0.390625
127.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\127.nii,"(512, 512, 36)",512x512,36,0.390625,0.390625,5.0,0.390625x0.390625
128.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\128.nii,"(512, 512, 35)",512x512,35,0.41796875,0.41796875,5.0,0.41796875x0.41796875
129.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\129.nii,"(512, 512, 35)",512x512,35,0.37109375,0.37109375,5.0,0.37109375x0.37109375
130.nii,D:\Hieu\B3\Intership\computed-tomography-images-for-intracranial-hemorrhage-detection-and-segmentation-1.3.1\ct_scans\130.nii,"(512, 512, 36)",512x512,36,0.44140625,0.44140625,5.0,0.44140625x0.44140625
